emoji,anger,fear,joy,sadness,native,unicode,bytes-UTF-8,description
1f386,0.051,0.165,0.191,0.165,🎆,1F386,\xF0\x9F\x8E\x86,fireworks
1f445,0.316,0.062,0.136,0.133,👅,1F445,\xF0\x9F\x91\x85,tongue
1f4fc,0.213,0.25,0.312,0.208,📼,1F4FC,\xF0\x9F\x93\xBC,videocassette
1f557,0.118,0.341,0.222,0.246,🕗,1F557,\xF0\x9F\x95\x97,clock face eight oclock
1f303,0.09,0.174,0.298,0.289,🌃,1F303,\xF0\x9F\x8C\x83,night with stars
1f337,0.175,0.245,0.37,0.188,🌷,1F337,\xF0\x9F\x8C\xB7,tulip
1f40d,0.37,0.352,0.169,0.166,🐍,1F40D,\xF0\x9F\x90\x8D,snake
1f4be,0.168,0.324,0.341,0.308,💾,1F4BE,\xF0\x9F\x92\xBE,floppy disk
1f4d9,0.181,0.193,0.186,0.217,📙,1F4D9,\xF0\x9F\x93\x99,orange book
1f3ef,0.092,0.232,0.164,0.149,🏯,1F3EF,\xF0\x9F\x8F\xAF,japanese castle
1f330,0.212,0.167,0.169,0.078,🌰,1F330,\xF0\x9F\x8C\xB0,chestnut
1f35b,0.161,0.172,0.175,0.145,🍛,1F35B,\xF0\x9F\x8D\x9B,curry and rice
1f392,0.127,0.154,0.174,0.094,🎒,1F392,\xF0\x9F\x8E\x92,school satchel
1f4a0,0.222,0.179,0.32,0.249,💠,1F4A0,\xF0\x9F\x92\xA0,diamond shape with a dot inside
1f4f6,0.164,0.122,0.151,0.132,📶,1F4F6,\xF0\x9F\x93\xB6,antenna with bars
1f63e,0.454,0.268,0.119,0.295,😾,1F63E,\xF0\x9F\x98\xBE,pouting cat face
261d,0.254,0.233,0.492,0.36,☝,261D,\xE2\x98\x9D,white up pointing index
1f4b9,0.175,0.248,0.305,0.208,💹,1F4B9,\xF0\x9F\x92\xB9,chart with upwards trend and yen sign
1f4e1,0.204,0.259,0.303,0.27,📡,1F4E1,\xF0\x9F\x93\xA1,satellite antenna
1f4f1,0.127,0.269,0.172,0.309,📱,1F4F1,\xF0\x9F\x93\xB1,mobile phone
25fd,0.305,0.227,0.126,0.187,◽,25FD,\xE2\x97\xBD,white medium small square
2b1c,0.348,0.194,0.155,0.229,⬜,2B1C,\xE2\xAC\x9C,white large square
1f387,0.103,0.209,0.221,0.206,🎇,1F387,\xF0\x9F\x8E\x87,firework sparkler
1f41f,0.131,0.167,0.147,0.102,🐟,1F41F,\xF0\x9F\x90\x9F,fish
