emoji,anger,fear,joy,sadness,native,unicode,bytes-UTF-8,description
1f335,0.087,0.245,0.192,0.034,🌵,1F335,\xF0\x9F\x8C\xB5,cactus
1f48e,0.173,0.073,0.543,0.108,💎,1F48E,\xF0\x9F\x92\x8E,gem stone
1f49c,0.183,0.131,0.341,0.207,💜,1F49C,\xF0\x9F\x92\x9C,purple heart
1f4f4,0.176,0.247,0.146,0.245,📴,1F4F4,\xF0\x9F\x93\xB4,mobile phone off
2195,0.274,0.277,0.207,0.276,↕,2195,\xE2\x86\x95,up down arrow
1f364,0.138,0.15,0.191,0.165,🍤,1F364,\xF0\x9F\x8D\xA4,fried shrimp
1f514,0.27,0.219,0.242,0.427,🔔,1F514,\xF0\x9F\x94\x94,bell
1f556,0.15,0.35,0.089,0.33,🕖,1F556,\xF0\x9F\x95\x96,clock face seven oclock
1f608,0.213,0.055,0.081,0.193,😈,1F608,\xF0\x9F\x98\x88,smiling face with horns
2196,0.193,0.214,0.186,0.124,↖,2196,\xE2\x86\x96,north west arrow
1f0cf,0.233,0.286,0.051,0.177,🃏,1F0CF,\xF0\x9F\x83\x8F,playing card black joker
1f42c,0.107,0.184,0.117,0.204,🐬,1F42C,\xF0\x9F\x90\xAC,dolphin
1f455,0.219,0.078,0.116,0.226,👕,1F455,\xF0\x9F\x91\x95,t-shirt
1f45b,0.105,0.196,0.302,0.202,👛,1F45B,\xF0\x9F\x91\x9B,purse
1f474,0.27,0.263,0.276,0.215,👴,1F474,\xF0\x9F\x91\xB4,older man
1f4c5,0.174,0.21,0.131,0.225,📅,1F4C5,\xF0\x9F\x93\x85,calendar
1f626,0.37,0.423,0.128,0.355,😦,1F626,\xF0\x9F\x98\xA6,frowning face with open mouth
23f0,0.176,0.28,0.154,0.227,⏰,23F0,\xE2\x8F\xB0,alarm clock
1f377,0.046,0.124,0.218,0.059,🍷,1F377,\xF0\x9F\x8D\xB7,wine glass
1f419,0.098,0.234,0.199,0.086,🐙,1F419,\xF0\x9F\x90\x99,octopus
1f48d,0.171,0.073,0.46,0.173,💍,1F48D,\xF0\x9F\x92\x8D,ring
1f3c1,0.221,0.184,0.125,0.263,🏁,1F3C1,\xF0\x9F\x8F\x81,chequered flag
1f491,0.165,0.113,0.409,0.25,💑,1F491,\xF0\x9F\x92\x91,couple with heart
1f60c,0.127,0.182,0.254,0.137,😌,1F60C,\xF0\x9F\x98\x8C,relieved face
1f62c,0.161,0.328,0.1,0.211,😬,1F62C,\xF0\x9F\x98\xAC,grimacing face
1f36d,0.092,0.163,0.158,0.055,🍭,1F36D,\xF0\x9F\x8D\xAD,lollipop
1f374,0.053,0.078,0.126,0.285,🍴,1F374,\xF0\x9F\x8D\xB4,fork and knife
1f4a9,0.35,0.342,0.151,0.446,💩,1F4A9,\xF0\x9F\x92\xA9,pile of poo
1f537,0.249,0.053,0.236,0.278,🔷,1F537,\xF0\x9F\x94\xB7,large blue diamond
1f5fd,0.09,0.226,0.113,0.186,🗽,1F5FD,\xF0\x9F\x97\xBD,statue of liberty
25fc,0.445,0.245,0.21,0.264,◼,25FC,\xE2\x97\xBC,black medium square
2651,0.196,0.172,0.3,0.179,♑,2651,\xE2\x99\x91,capricorn
1f3b1,0.257,0.09,0.059,0.204,🎱,1F3B1,\xF0\x9F\x8E\xB1,billiards
26d4,0.312,0.445,0.136,0.344,⛔,26D4,\xE2\x9B\x94,no entry
1f30a,0.106,0.29,0.123,0.222,🌊,1F30A,\xF0\x9F\x8C\x8A,water wave
1f40e,0.281,0.172,0.148,0.212,🐎,1F40E,\xF0\x9F\x90\x8E,horse
1f411,0.29,0.169,0.12,0.292,🐑,1F411,\xF0\x9F\x90\x91,sheep
1f436,0.13,0.18,0.257,0.084,🐶,1F436,\xF0\x9F\x90\xB6,dog face
1f51e,0.109,0.136,0.051,0.179,🔞,1F51E,\xF0\x9F\x94\x9E,no one under eighteen symbol
2194,0.329,0.372,0.214,0.335,↔,2194,\xE2\x86\x94,left right arrow
1f63b,0.304,0.1,0.319,0.145,😻,1F63B,\xF0\x9F\x98\xBB,smiling cat face with heart-shaped eyes
1f3ac,0.213,0.196,0.237,0.162,🎬,1F3AC,\xF0\x9F\x8E\xAC,clapper board
1f31b,0.11,0.103,0.32,0.227,🌛,1F31B,\xF0\x9F\x8C\x9B,first quarter moon with face
1f376,0.145,0.255,0.282,0.145,🍶,1F376,\xF0\x9F\x8D\xB6,sake bottle and cup
1f3b2,0.126,0.162,0.09,0.179,🎲,1F3B2,\xF0\x9F\x8E\xB2,game die
1f64e,0.293,0.244,0.196,0.299,🙎,1F64E,\xF0\x9F\x99\x8E,person with pouting face
1f304,0.103,0.28,0.392,0.205,🌄,1F304,\xF0\x9F\x8C\x84,sunrise over mountains
1f34a,0.169,0.199,0.284,0.237,🍊,1F34A,\xF0\x9F\x8D\x8A,tangerine
1f37a,0.157,0.12,0.167,0.097,🍺,1F37A,\xF0\x9F\x8D\xBA,beer mug
1f433,0.16,0.184,0.09,0.159,🐳,1F433,\xF0\x9F\x90\xB3,spouting whale
1f622,0.284,0.385,0.21,0.333,😢,1F622,\xF0\x9F\x98\xA2,crying face
231b,0.205,0.305,0.25,0.266,⌛,231B,\xE2\x8C\x9B,hourglass
1f3a5,0.142,0.178,0.233,0.158,🎥,1F3A5,\xF0\x9F\x8E\xA5,movie camera
1f55a,0.123,0.282,0.119,0.316,🕚,1F55A,\xF0\x9F\x95\x9A,clock face eleven oclock
1f309,0.079,0.151,0.24,0.247,🌉,1F309,\xF0\x9F\x8C\x89,bridge at night
1f4bc,0.173,0.192,0.286,0.175,💼,1F4BC,\xF0\x9F\x92\xBC,briefcase
1f3b6,0.149,0.131,0.326,0.31,🎶,1F3B6,\xF0\x9F\x8E\xB6,multiple musical notes
1f4c2,0.213,0.263,0.171,0.276,📂,1F4C2,\xF0\x9F\x93\x82,open file folder
1f521,0.193,0.191,0.173,0.129,🔡,1F521,\xF0\x9F\x94\xA1,input symbol for latin small letters
1f338,0.122,0.197,0.31,0.13,🌸,1F338,\xF0\x9F\x8C\xB8,cherry blossom
1f49d,0.106,0.172,0.417,0.144,💝,1F49D,\xF0\x9F\x92\x9D,heart with ribbon
1f459,0.13,0.132,0.177,0.187,👙,1F459,\xF0\x9F\x91\x99,bikini
1f529,0.181,0.276,0.175,0.178,🔩,1F529,\xF0\x9F\x94\xA9,nut and bolt
1f535,0.203,0.241,0.117,0.336,🔵,1F535,\xF0\x9F\x94\xB5,large blue circle
1f602,0.381,0.231,0.099,0.326,😂,1F602,\xF0\x9F\x98\x82,face with tears of joy
1f610,0.415,0.309,0.149,0.322,😐,1F610,\xF0\x9F\x98\x90,neutral face
1f41c,0.269,0.308,0.098,0.112,🐜,1F41C,\xF0\x9F\x90\x9C,ant
1f4e9,0.251,0.088,0.063,0.199,📩,1F4E9,\xF0\x9F\x93\xA9,envelope with downwards arrow above
1f63f,0.257,0.264,0.246,0.344,😿,1F63F,\xF0\x9F\x98\xBF,crying cat face
